"Product SKU","Product Name","Price","Quantity","size","tcs","tip","marka","god","baltika","naznachenie","primmenenie"
"O-02812","O-02812","20","20","10*15*2.5","","O-Ring","","","","",""
"O-02712","O-02712","20","20","10*14*2","","O-Ring","","","","",""
"3980","3980","200","0","53*65*10","P03373","SG","","","","",""
"3979","3979","180","0","43*58*13.5","P03326","SG","","","","",""
"3978","3978","160","0","72*95*10","P03324","TC","","","","",""
"3977","3977","300","0","45*52*7","P03314","TG","","","","",""
"3976","3976","180","0","35*44*5","P03306","TG","","","","",""
"3975","3975","160","0","34*70*10","P03296","TG","","","","",""
"3974","3974","200","0","32*50*7","P03294","TG","","","","",""
"3973","3973","140","0","15*35*7","P03292","TG","","","","",""
"3972","3972","100","0","40*65*10","P03284","TC","","","","",""
"3971","3971","160","0","58*80*10","P03251","TC","","","","",""
"3970","3970","220","0","50*80*8","P03241","TC","","","","",""
"3969","3969","220","0","42*58*8","P03240","TC","","","","",""
"3968","3968","160","0","38*60*8","P03237","TC","","","","",""
"3967","3967","160","0","38*62*7","P03236","TC","","","","",""
"3966","3966","160","0","35*72*8","P03235","","","","","",""
"3965","3965","200","0","9*18*7","P03201","TC","","","","",""
"3964","3964","100","0","180*200*13","P03199","TC","","","","",""
"3963","3963","1160","0","170*200*15","P03194","TC","","","","",""
"3962","3962","1160","0","120*180*15","P03193","TC","","","","",""
"3961","3961","860","0","120*160*12","P03190","TC","","","","",""
"3960","3960","660","0","118*140*12","P03188","TC","","","","",""
"3959","3959","580","0","90*105*10","P03187","TC","","","","",""
"3958","3958","340","0","85*150*12","P03178","TC","","","","",""
"3957","3957","580","0","85*130*12","P03177","TC","","","","",""
"3956","3956","500","0","85*120*12","P03176","TC","","","","",""
"3955","3955","440","0","85*115*12","P03175","TC","","","","",""
"3954","3954","400","0","85*105*12","P03174","TC","","","","",""
"3953","3953","340","0","80*95*8","P03172","TC","","","","",""
"3952","3952","280","0","65*120*12","P03169","TC","","","","",""
"3951","3951","440","0","65*95*12","P03161","TC","","","","",""
"","3871","","","","","","","","","",""
"","3880","","","","","","","","","",""
"3950","3950","280","0","65*80*8","P03159","TC","","","","",""
"3949","3949","220","0","60*95*10","P03154","TC","","","","",""
"3948","3948","280","0","50*72*10","P03153","TC","","","","",""
"3947","3947","200","0","50*68*8","P03139","TC","","","","",""
"3946","3946","180","0","47*65*8","P03137","TC","","","","",""
"3945","3945","160","0","45*85*10","P03135","TC","","","","",""
"3944","3944","220","0","45*80*10","P03134","TC","","","","",""
"3943","3943","220","0","45*68*10","P03132","TC","","","","",""
"3942","3942","180","0","45*62*10","P03129","TC","","","","",""
"3941","3941","160","0","45*60*10","P03127","TC","","","","",""
"3940","3940","160","0","45*55*4","P03126","TC","","","","",""
"3939","3939","140","0","42*62*12","P03124","TC","","","","",""
"3938","3938","160","0","42*52*4","P03122","TC","","","","",""
