"Product SKU","Product Name","Type","Price","Quantity","size","tip"
"280","F-00024","Simple Product","300","77","23*34.5*6.5","7V2"
"279","F-00012","Simple Product","300","49","23*34.5*6.5","7V2"
"278","F-00034","Simple Product","300","124","23*34.3/40.2*3.2/7.5","6V2"
"277","F-00016","Simple Product","300","117","23*34.3/40.2*3.2/7.5","6V2"
"276","F-00642","Simple Product","300","82","23*34.3/38*3.2/7.4","6V2"
"275","F-00441","Simple Product","300","73","23*34.3/38*3.2/7.4","6V2"
"274","F-00035","Simple Product","300","86","23*34.3/38*3.2/7.4","6V2"
"273","F-00018","Simple Product","300","55","23*34.3/38*3.2/7.4","6V2"
"272","F-00097","Simple Product","160","353","23*34*6.5","0M"
"271","F-00028XX","Simple Product","340","181","23*33*8","7V1"
"270","F-00089X","Simple Product","160","166","23*33*5/5.5","1РМ"
"269","F-00739","Simple Product","340","131","23*32.5*6/8","4V2"
"268","F-00440","Simple Product","340","127","23*32.5*6/8","4V2"
"267","F-00865","Simple Product","120","158","23*29.8*4.5","0M"
"266","F-00019","Simple Product","120","179","23*29.8*4.5","0M"
"265","F-00901","Simple Product","340","68","22.8*33.5*6","7V2"
"264","F-00926X","Simple Product","340","96","22.5*41*8.5","7V1"
"263","F-00292X","Simple Product","340","93","22.5*41*8.5","7V1"
"262","F-00225X","Simple Product","340","94","22.5*41*8","7V1"
"261","F-00499X","Simple Product","340","148","22.5*38*9","7V1"
"260","F-00402X","Simple Product","340","155","22.5*38*9","7V1"
"259","F-01179X","Simple Product","340","155","22.5*34.5*6.5","7V1"
"258","F-00396X","Simple Product","340","146","22.5*34.5*6.5","7V1"
"257","F-00024X","Simple Product","340","146","22.5*34.5*6.5","7V1"
"256","F-00034X","Simple Product","340","233","22.5*34.3/40*3.2/7.5","6V2"
"255","F-00016X","Simple Product","340","239","22.5*34.3/40*3.2/7.5","6V2"
"254","F-00642X","Simple Product","340","72","22.5*34.3/38*4.3/8","6V1"
"253","F-00441X","Simple Product","340","54","22.5*34.3/38*4.3/8","6V1"
"252","F-00035X","Simple Product","340","63","22.5*34.3/38*4.3/8","6V1"
"251","F-00018X","Simple Product","340","69","22.5*34.3/38*4.3/8","6V1"
"250","F-00739X","Simple Product","340","135","22.5*32.5*6/8","4V2"
"249","F-00440X","Simple Product","340","112","22.5*32.5*6/8","4V2"
"248","F-0000B","Simple Product","340","458","22.5*25.5*3","L-RING"
"247","F-00938","Simple Product","160","85","22.3*32.2*5/5.7 ","1РМ"
"246","F-00526","Simple Product","160","104","22.3*32.2*5/5.7 ","1РМ"
"245","F-00748","Simple Product","160","307","22.2*31.75*6/7.5","1РМ"
"244","F-00123","Simple Product","340","475","22*39.4*10/12.5","7V3"
"243","F-00513","Simple Product","340","17","22*38.5*8","7V1"
"242","F-00797","Simple Product","340","74","22*38.2*8","7V1"
